title,label
Texas law enforcement officer fatally shot upon arriving for work by 3 Muslim refugee. Do you support to deport them?,fake
IT BEGINS: California Appoints FIRST Illegal Alien to State Office – Trump Has Better Plan,fake
Cannibals Arrested in Florida Claim Eating Human Flesh Cures Diabetes and Depression,fake
BREAKING: 60 People Just Found Dead In Ohio,fake
Alabama State Police Arrest 3 Poll Workers In Birmingham,fake
"Snopes Paid to Push ‘Propaganda’ by Facebook, Former Editor Reveals",fake
PoliticoNo.com is for sale,fake
CONFIRMED ! JUSTICE RUTH BADER GINSBURG IS RESIGNING FROM THE POST OF ASSOCIATE JUSTICE OF THE SUPREME COURT,fake
BREAKING: Sasha Obama Just Crashed Her Expensive New Car Into A Lake,fake
Unbelievable: Navy Destroyer Strikes A Building In Downtown Houston,fake
Thousands killed as Israel Drops Tactical Nuclear Bomb On Syria,fake
The Zambian Observer,fake
Trump on Revamping the Military: We’re Bringing Back the Draft,fake
Keanu on Trump travel ban: ‘just terrible’,fake
UPDATE: Florida Governor Rick Scott Now Listed As &#8216;Critical&#8217; After Bizarre Hurricane Cleanup Accident,fake
Family's private investigator: There is evidence Seth Rich had contact with WikiLeaks prior to death,fake
,fake
"Haiti Official Getting Ready To Testify Against Clinton Foundation Corruption NEXT WEEK, Found DEAD With “Gunshot to the head”",fake
MEXICO’S NEXT PRESIDENT Calls for An Invasion Of The US….,fake
Senate Democrats Demand Supreme Court Nominee Not Be Unduly Influenced By U.S. Constitution,fake
"Chinese Restaurant In Coral Springs,Florida Busted For Selling Dog Meat To VIP Customers",fake
The Legislative Process,fake
STUNNING! Democrats BOO and GROAN at Trump Mention of Murder Victims of MS-13 Killers (VIDEO),fake
Trump Declares Globalist Soros As “National Security Threat”…Using Obama’s 2014 Executive Order,fake
Morgue employee cremated by mistake while taking a nap,fake
World's most popular candy to be removed from shelves by October 2017!,fake
Man Loses His Testicles After Attempting To Smoke Weed Through A Scuba Tank,fake
Donald Trump Dead From A Fatal HEART ATTACK! — Steemit,fake
Puerto Rico Mayor Facing Fraud Charges Over $3M In Federal Disaster Relief,fake
Hurricane Irene: ‘Photo’ of shark swimming in street is fake,fake
Trump Gives Chaffetz The Thumbs Up For Investigating Hillary Clinton’s Email Server,fake
"Georgia Mosque KEEPS Hurricane Harvey Donations, Will Send To Syrian Refugees Instead",fake
